YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,WINTER ,SPRING,SUMMER,AUTUMN,1ST HALF,2ND HALF,
1970,30.0,37.1,41.9,55.3,68.3,75.2,79.2,79.0,75.0,62.5,49.3,39.7,57.7,34.5,55.2,77.8,62.3,51.3,64.1,
1971,31.3,39.1,43.2,55.0,63.7,75.9,78.3,76.7,73.0,64.7,48.2,45.5,57.9,36.7,54.0,77.0,62.0,51.4,64.4,
1972,38.5,36.5,45.6,54.1,64.6,70.2,77.5,75.9,71.0,56.0,46.8,43.6,56.7,40.2,54.8,74.5,57.9,51.6,61.8,
1973,37.6,37.0,51.1,56.0,62.8,77.1,79.2,79.9,74.3,63.3,51.6,41.9,59.3,39.4,56.6,78.7,63.1,53.6,65.0,
1974,42.9,39.2,49.2,58.3,65.1,71.5,79.0,78.4,70.2,57.3,50.9,43.1,58.8,41.3,57.5,76.3,59.5,54.4,63.2,
1975,40.9,40.6,45.2,53.6,69.7,76.4,79.3,80.1,68.5,63.2,54.4,40.5,59.4,41.5,56.2,78.6,62.0,54.4,64.3,
1976,33.9,46.9,51.3,59.9,65.0,77.6,78.4,76.7,70.4,55.4,43.0,35.5,57.9,40.4,58.7,77.6,56.3,55.8,59.9,
1977,25.4,38.8,52.7,60.1,69.4,74.3,80.9,78.8,73.9,59.0,51.8,38.1,58.6,33.2,60.7,78.0,61.6,53.5,63.8,
1978,32.5,31.4,44.4,57.7,65.8,76.7,78.8,81.3,73.6,59.4,52.2,43.1,58.1,34.0,56.0,78.9,61.7,51.4,64.7,
1979,35.1,28.4,51.5,56.0,67.7,72.4,78.6,78.5,71.6,58.6,54.4,43.7,58.1,35.5,58.4,76.5,61.5,51.9,64.2,
1980,37.2,36.1,46.2,60.1,69.5,74.8,82.3,82.8,77.1,59.9,48.6,39.8,59.5,39.0,58.6,80.0,61.9,54.0,65.1,
1981,33.0,43.7,47.6,62.1,66.2,78.7,80.2,77.0,71.0,58.3,51.4,38.5,59.0,38.8,58.6,78.6,60.2,55.2,62.7,
1982,28.1,38.3,45.7,54.0,69.0,72.8,80.3,75.4,70.6,60.2,51.8,45.5,57.7,35.0,56.2,76.2,60.9,51.3,64.0,
1983,38.1,38.7,48.8,53.3,64.9,75.0,81.2,81.0,72.6,60.5,50.3,36.0,58.4,40.8,55.7,79.1,61.1,53.1,63.6,
1984,32.2,43.8,41.8,54.9,64.9,76.9,76.5,77.8,68.3,65.2,46.0,45.6,57.8,37.3,53.9,77.1,59.8,52.4,63.2,
1985,30.8,37.8,47.7,61.6,68.1,72.3,79.0,76.7,71.9,61.2,54.3,36.4,58.2,38.1,59.1,76.0,62.5,53.1,63.3,
1986,35.4,35.3,47.4,56.2,68.1,76.6,81.1,74.6,70.9,61.1,46.5,39.8,57.8,35.7,57.2,77.4,59.5,53.2,62.3,
1987,34.7,37.0,47.7,54.8,67.2,76.4,82.6,78.7,72.1,54.4,49.9,41.5,58.1,37.2,56.6,79.2,58.8,53.0,63.2,
1988,31.0,37.3,47.2,54.4,65.8,74.4,81.9,80.7,68.9,54.4,49.9,38.7,57.1,36.6,55.8,79.0,57.7,51.7,62.4,
1989,39.9,37.8,46.1,55.4,64.1,76.8,78.3,77.1,71.4,60.5,48.0,27.9,56.9,38.8,55.2,77.4,60.0,53.4,60.5,
1990,43.6,45.2,50.2,56.8,64.3,75.0,79.4,76.5,69.6,62.8,52.0,44.5,60.0,38.9,57.1,77.0,61.5,55.9,64.1,
1991,38.6,43.0,48.8,58.2,73.0,76.8,81.4,80.0,71.0,60.4,48.8,42.3,60.2,42.0,60.0,79.4,60.1,56.4,64.0,
1992,38.2,41.2,45.0,55.4,62.3,71.7,79.5,74.0,69.2,56.0,48.8,39.6,56.7,40.6,54.2,75.1,58.0,52.3,61.2,
1993,39.7,34.3,42.2,54.8,67.4,75.3,83.1,79.6,71.0,58.1,48.8,38.1,57.7,37.9,54.8,79.3,59.3,52.3,63.1,
1994,28.8,36.3,45.4,62.0,63.1,79.4,81.8,75.5,70.2,59.1,53.3,44.2,58.3,34.4,56.8,78.9,60.9,52.5,64.0,
1995,39.6,34.3,49.2,56.3,65.8,74.6,81.5,81.3,70.9,62.3,43.1,35.6,57.9,39.4,57.1,79.1,58.8,53.3,62.5,
1996,32.9,37.3,42.9,56.8,63.9,77.2,77.6,76.5,70.6,59.4,44.1,43.0,56.9,35.3,54.5,77.1,58.0,51.8,61.9,
1997,37.0,44.7,48.7,54.0,62.9,73.1,80.4,77.6,70.5,59.6,46.2,41.0,58.0,41.6,55.2,77.0,58.8,53.4,62.6,
1998,43.0,43.4,46.9,57.4,67.5,73.0,78.9,79.4,75.4,60.1,50.3,44.4,60.0,42.5,57.3,77.1,61.9,55.2,64.8,
